reviews,date,country,seat_type,recommended,stars,route,type_of_traveller,Verified,Contonation
"i don't understand why british airways is classified as a 4 star airline? the service is really mediocre. the food is untasty and insufficient for a long haul trip. some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. this really is all about getting from point a to b without what it used to be an enjoyable trip making experience. the inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience.",20th July 2023,United Kingdom,Economy Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Positive
"customer service does not exist. one world emerald, frequent long haul flyer (including ba) - never seen such poor customer service or “computer says no”. official ba.com site said all morning and afternoon that flight from gatwick, delayed 2 hours. delayed leaving for airport -only for ba to change back to original time. called ba customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. got to airport 40 mins prior told could not board and that staff did not work for ba so could not help. back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. ultimately told to file complaint. then found out flight left 2 hours delayed. paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!",18th July 2023,United Kingdom,Business Class,no,5,Denver to Heathrow,Family Leisure,Yes,Negative
"another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with ba again and enjoy another great experience.",17th July 2023,United Kingdom,Business Class,yes,5,BKK to LHR,Business,Yes,Positive
"my family and i have flown mostly on british airways for the last 30 years. i am a priority passenger and fly often enough to recognise cabin crew and know some by name. they used to be a really good airline to fly with. things have really deteriorated with their face to face customer care since the pandemic. the aircraft look worn. for example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. the second time around, i think the reset was done for the whole aircraft. the touch screen function on my screen did not work. the usb charger ports on my seat did not work. the staff were pleasant enough, but their service oozed mediocrity.  there did not seem to be much pride in what they were doing. the food has been the worst part on our ba flights since the pandemic. they gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. they then told us that we’d get first choice at the second service which they couldn’t deliver on. finally after choosing and getting whatever it is that we did, the food was tasteless. we take part in post flight surveys regularly and have stated all of this, to no avail. as a family of 3, we fly british airways medium to long haul regularly, possibly 4-6 times a year each. for us, the good things about flying ba are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them.",9th July 2023,United Kingdom,Premium Economy,no,1,LHR to CPT,Couple Leisure,Yes,Positive
"this has been by far the worst service i have had on a plane. it's very obvious that if you are flying economy and not a frequent traveler of british airways, they care very little about you. we had to wait an hour for them to even open the check-in. once they did, they had 5 lines and only one that serviced economy. even though the line for economy was three times the length of the premium classes. then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. i will never fly this airline again!",9th July 2023,United States,Economy Class,no,9,BLR to LHR,Business,Yes,Neutral
"in nov 2022 i booked and paid for a return journey to new zealand. on my return journey my final flight was from london to edinburgh. on trying to check in i was told my ticket ‘did not exist’. i showed evidence of my flight being booked and paid for but was denied a ticket. my only option was to buy a ticket for a later flight which cost £265.07. since nov 22, ie, 8 months ago, i have communicated multiple times with ba in an attempt to have my money returned. they have admitted responsibility for their error which cost me £265. i finally received word from them that they have decided to refund me the sum of £32.14. i have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. i do not intend to let this matter go. a company worth billions of pounds will not return an honest refund. ps, they also lost my luggage and did nothing to help me retrieve it. i tracked it down myself a week later to edinburgh airport and picked it up myself.",8th July 2023,United Kingdom,Economy Class,no,7,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"24 hours before our departure on ba059 to cape town from heathrow on thursday 29th june, we did an online check-in. seats had already been allocated for my wife and i - 41 e and f - which are the middle two seats of the central block of four. these were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. but there were no other seats available. we got to heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. she did offer us an upgrade to premium economy but at 450gbp each it was beyond our affordability. she said we should try again at the departure gate but that also failed. we spoke to a member of the flight crew who was totally unsympathetic. the economy seats are so tiny that i was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. for 12 hours we suffered. when we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. ba economy is absolutely awful. the evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. the breakfast spanish omelette was, however, not bad at all. the previous day we had flown economy from malta to heathrow on malta airlines and that 3 hour trip was a pleasure. the seats are wide and there is ample legroom. if they can do it, then why not british airways.",5th July 2023,South Africa,Economy Class,no,5,Gatwick to Venice,Solo Leisure,Yes,Neutral
"we arrived at heathrow at 0600 to find our flight to ibiza was cancelled by ba with no explanation. as if that wasn’t galling enough, the customer service from ba at the airport was non-existent! there was no explanation, no apology and no assistance in finding an alternative flight. we’ve managed to find another flight from stansted but that isn’t until much later today, thus wasting a chunk of our short trip. i simply don’t understand why ba don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. shocking customer service!",5th July 2023,United Kingdom,Economy Class,no,3,London to Luanda,Couple Leisure,Yes,Negative
original flight was cancelled with no explanation. there was no representative to help in rebooking we had to call customer service (long distance call) the line kept dropping had to do 40 + calls to find new booking only to discover the only way i could fly the next day was by paying business class. no help with hotel for the night stay.,4th July 2023,Greece,Business Class,no,3,Denver to Heathrow,Family Leisure,Yes,Neutral
flight fine. in-line with competitors. pleasant crew. only niggle is bussed to and from aircraft at heathrow. it seems like this is standard for the berlin flights. would use again.,2nd July 2023,Senegal,Economy Class,yes,5,London to Tampa,Couple Leisure,Yes,Positive
came from glasgow to london and took connecting flight american airlines from london to north carolina. it's my third day here in north carolina and still waiting for my luggage. they didn't even bother to transfer the luggage to connecting flight. luggage are still in glasgow.,30th June 2023,United States,Economy Class,no,3,London to Sydney,Couple Leisure,Yes,Neutral
"my flight on on 12 may 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 may 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. we contacted the ba call center multiple times to make changes to the flight in order to still arrive on the 12th of may to kef airport through different flights. the team tried to find a solution but none made sense, not even on the next day the 13th of may 2023. we have made full booking of accommodation, car rental, activities etc for the vacation in iceland. the cancellation of of these booking is not refundable. the call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. british airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. the refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. i was promised to get refund on the first call but later i found out it was not processed properly. every-time i call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. after multiple calls i was refunded partially and not the full amount which is even bizarre from a company of this level. i had to make more calls to get the remaining balance refunded. the whole experience was terrible.",29th June 2023,United Arab Emirates,Economy Class,no,3,LHR to CPT,Couple Leisure,Yes,Negative
"after travelling london to madrid with british airways, then with iberia from madrid to lima and latam to cuzco, my luggage arrived 7 days after me. when attempting to collect my luggage, mine was the only one not to arrive. i sought help and was informed to make a claim online. when my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. someone emptied my 1st aid kit and toiletries and threw my clothing about, i felt violated. i have been treated appallingly from start to finish. for a month, i have been back and forth to british airways, yet they stated it is not their fault.",27th June 2023,United Kingdom,Economy Class,no,9,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"my luggage was mis-tagged in dallas on my way to cairo via london. my luggage arrived at lhr as planned on saturday 6/24. however, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to cairo. its sitting in terminal 3 in lhr (i have an air tag on my luggage) and british airways is saying there is nothing they can do about it. i have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at ba refuse to solve the problem.",27th June 2023,United States,Economy Class,no,7,Rome to Heathrow,Solo Leisure,Yes,Negative
"the airline lost my luggage and was absolutely awful throughout the entire trip. they gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. they finally delivered my luggage to my hotel after i had left to go back to the us, 5 days after i told them to ship it back to the us. now, i’ve been calling everyday begging them to get my bag back to me. they appease me on the phone, tell me they’re fixing it, but nothing changes. the hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. several times, when i called i got a message saying they were not answering due to too many complaints and calls and to “call back later”.",25th June 2023,United States,Economy Class,no,3,Gatwick to Venice,Solo Leisure,Yes,Negative
"we booked on the ba website, round trip flights from seattle to amman with a stop in london, in business class. our first flight was delayed and then diverted to nyc, and enroute my husband experienced a medical emergency. when we landed in nyc we were taken to a hospital and i stayed in constant contact with the airline agent who had arranged for the ambulance transfer. the same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. for the next several weeks, we spoke many times with ba customer service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. we discovered we had been marked as “no-shows” for our flight to amman and that our return flight was still active. we were unable to cancel the return on the website, despite booking on the website. our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service i filed a complaint with the faa. in response to my complaint i received an email from ba customer service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. they would issue flight credits - except for the portion for which we no-showed. they did not state how many credits. we never once asked for a full refund - we asked to read the rules and to receive a partial refund. we will not use the credits - we were fully refunded by our travel insurance.",25th June 2023,United States,Business Class,no,5,London to Luanda,Couple Leisure,Yes,Positive
"first time flying with ba business class, never again. there are no boarding drinks provided. my meal quality was below business class standards as was the quality of the wine. on arrival at bodrum my bags were among the last to appear. not looking forward to the same chaos on the return flight.",25th June 2023,United Kingdom,Business Class,no,3,Denver to Heathrow,Family Leisure,Yes,Negative
"this is a two-for-one review covering economy and business class on the ba flight from london city to ibiza. economy was excellent. a very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. the flight was full but the crew worked hard and did a very good job. this is a flight i would recommend. except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as i did. (i flew economy out and business back, while my brother flew business, then economy.) the business seats are identical to economy, with no seats blocked, so you are squished in four abreast. the meals are almost identical, with minor tweaks such as a yoghurt for your £100. the only real plus is champagne. but on my flight, there was none because of ""supply issues"". the cabin attendant (i think his name was tom) must be one of the best in the business. i didn't eat, so i paid £100 for nothing. oh well. so great flight but stick with economy.",24th June 2023,United Kingdom,Business Class,yes,5,London to Tampa,Couple Leisure,Yes,Positive
"absolutely horrible airline. communication is terrible. last minute delays, cancellations, seat changes with no communication. app and website user experience is years behind other airlines. seats are cramped and uncomfortable. overpriced. would not fly again.",23rd June 2023,United States,Economy Class,no,5,London to Sydney,Couple Leisure,Yes,Negative
"having experienced delays and cancellations departing from usa to europe and now a 3.5 hour estimated delay at lhr heading back to usa, i would warn travelers that ba has become unreliable and is now on my “do not fly” list until they get better organized.",22nd June 2023,United States,Business Class,no,3,LHR to CPT,Couple Leisure,Yes,Neutral
"travelled to heathrow to kalamata and return journey 11 days later. world traveller (aka economy) class. both flights departed on time. return flight landed early - but - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. flights ok - fa's (particularly on return flight) pleasant enough. but, as usual, economy class seating was truly dreadful - no legroom at all. no better in club class either - only the middle seat left free. marked down because of this. can only recommend if you are not tall.",20th June 2023,United Kingdom,Economy Class,yes,3,BLR to LHR,Business,Yes,Positive
i flew from cairo to heathrow on what they call euro club class which is a cramped coach seat with the middle empty seat. horrible service. i get to heathrow airport 40 minutes late so i had to run around looking for my connecting flight. finally jumping through escalators and train to another building where is my gate. given a seat that is different than what i paid extra for ?! it’s a shame for such well known airline.,19th June 2023,United States,Business Class,no,7,Gatwick to Venice,Solo Leisure,Yes,Negative
"we were traveling as a family (5 people). because of an accident by the airport, we arrived at the airport only 1 hour before the flight. the kiosk was unable to read one of our passports and we had to go to check-in. the lady at the check-in checked the passport and gave us a boarding pass. because we had no extra time, we headed straight to security and didn’t realize the lady gave us a duplicated boarding pass (not of the passport holder). we got stuck in security because of that, couldn’t figure out what was wrong. we only didn’t miss the flight because we ran through the airport with a 70 year old and a 9 year old included in the party. the staff at the gate was very cordial and helpful once we arrived there.",13th June 2023,United States,Economy Class,no,5,Denver to Heathrow,Family Leisure,Yes,Neutral
flight at 8.40am from dub to lcy cancelled 1155pm night before. no text message. no phone. waiting at bus stop and randomly checked email to see alternate flight option. hang on? what’s this! it was dark at 5am. it was hard to see mobile phone screen. i’m still jet lagged. only option was to lhr at 9.20am. tried calling. no one there. so accepted it. but i didn’t see the day change! it was the next day! i didn’t want the flight (as was staying at docklands hence choosing lcy but thought i better take it as it’s leaving an hour after the original flight. nope. i better call to say hey sorry i screwed up. your flight is not going to work for me. i don’t have any more accommodation in dublin and i don’t want to waste one night in london. called. the most surly customer service (can you even be called that when you treat people like this) answered. she kept calling me james (not my name). she was brutal. you accepted it. i can’t do anything. she basically made me feel like a moron because in a moment of confusion i accepted the first available flight from the stupid supercomputer. she kept telling me about the algorithm and this was the flight that was chosen. but if you had called us we could have put you onto a aer lingus flight! why didn’t you call? you are at fault. just so callous and uncaring. she wanted to charge me 600 pounds in new flights and change fees. i said nope and booked a flight today with ryanair. plus i need to find my way from gatwick to docklands. more money from me because of ba’s utter contempt for their passengers. i’ve been flying qantas for 25 years and they can do some funky stuff. but never this level of cruelty because of one simple error. never again. how do people accept such utter contempt and ineptitude? welcome to the u.k.! just wow.,12th June 2023,Australia,Economy Class,no,3,BKK to LHR,Business,Yes,Negative
terrible. i have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. the customer service or complete lack of it is appalling and has forced me to change credit cards as i no longer intend to use ba for any further flights. terrible uncomfy old planes and miserable staff.,11th June 2023,United Kingdom,Business Class,no,3,London to Tampa,Couple Leisure,Yes,Negative
the customer service is ugly. tried calling two weeks ago but still had problems with flight. all i get is someone in india. i thought i was flying iberia once i looked close at ticket it was british airways. will never fly british airway ever again.,11th June 2023,United States,Economy Class,no,5,London to Sydney,Couple Leisure,Yes,Negative
"most uncomfortable flight i have ever experienced. it's a long time since i have flown long-haul, the cramped conditions were awful. the rows were so close together when the person in front reclined their seat my tv was so close i couldn't focus on it.  ba seem to want to make economy so uncomfortable to encourage customers to upgrade, this has not worked on me, i will avoid flying ba in future. my onward flight was with latam, same 787 aircraft but more room between rows, far more comfortable. on the return flight from santiago the lights were turned down at 8pm, i feel the cabin crew do this to avoid providing a service, they just disappear behind the curtains.",10th June 2023,United Kingdom,Economy Class,no,5,LHR to CPT,Couple Leisure,Yes,Neutral
"i booked our first out of country trip to take my husband on a surprise trip to monaco. i gave us over 3 hours for our connecting flight to and from home through heathrow. our flight left seattle an hour late causing us to miss our connecting flight. we were rescheduled before we even landed. they booked us on a flight 7 hours later and offered no food tickets or any other type of reimbursement. additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight, to watch them continually assist other customers that walked up outside of the queue (no earlier flights were available). when we arrived in nice, france the airport was closed, including the rental car desk. we were not offered any assistance from the airline on a room or other accommodation for the night. we found a cab, which cost us 85 euros one one to get to our hotel. we thought there is no way something like this could happen on the way home….we were wrong. our flight from nice to heathrow was 30 minutes late, with a 2.5 hour layover you would think we should still make our flight, unfortunately long security lines caused over 1.5 hr further delay. when arriving ba closed the doors and said they could not hold the plane any longer despite arriving 15mins before departure. after running through the heathrow airport and going through security again. they sent us back to the customer service queue, where the first statement was we can’t get you out until tomorrow. after begging they found us a flight on another airline. at that time we were told our bags were transferred to our flight with delta. we were given 8 pounds each for snacks at the airport for our now additional 5 hour delay. in total for our trip there and home we spent 13 hours at heathrow airport which our original total layover of 6 hours, and we were offered 8 pound each. unfortunately the drama continues. the two bags that they said made the delta flight, shockingly did not. we were told that we had the file the claim with delta, since the last part of our flight was with them. we have now been home for 5 days and each airline is pointing the finger at the other. as i said to both of them today. i don’t care who’ has my bags figure it out and send me my luggage i don't want your $500 reimbursement per bag, as that doesn’t come close to the memories and stuff that i have in there. i will never fly british airways again, and delta’s baggage people are not doing great either.",8th June 2023,United States,Economy Class,no,3,BLR to LHR,Business,Yes,Neutral
my husband and i booked seats within our premium economy booking. on both outward journey ba015 on 12 february and return on 11 march we were last or almost last to be served food. each time they had run out of our choices. on one occasion i did not eat as only available option was curry which disagrees with me. on all flights there appeared to be an undue focus on curry/spicy food. all in all very disappointing and left us with a very poor opinion of british airways.,7th June 2023,United Kingdom,Premium Economy,no,3,Heathrow to Las Vegas,Family Leisure,Yes,Negative
"i went through three flights to reach my destination. all of my ba flights without exception were delayed, both on my way to my destination and back from my destination which is understandable to an extent. what's not understandable is that they weren't prepared for one of the flights and delayed by almost an hour so i ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling i had to wait and hope that the hotel would find an extra room since ba didn't communicate properly with them. i gave ba a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that i had the last flight with, which went smoothly and they had nothing to do with the previously addressed complaints. i contacted them and gave them over a week asking why they didn't address any of my complaints that their partner could have nothing to do with and they just ghosted me. 2/10 for the kind personnel that's holding this airline together though.",6th June 2023,Greece,Economy Class,no,9,Gatwick to Venice,Solo Leisure,Yes,Negative
"an excellent flight in club world on british airways. the welcome aboard was warm and that continued throughout the flight. the crew were attentive, friendly and very professional. on board food for dinner and breakfast was good and there was a well chosen selection of wines. in flight entertainment offered a great selection of films and audio. the seat/flat bed was very comfortable - british airways have done an excellent job in the design and comfort of the suites on board the a350. i liked the sleek, minimalist design. this flight showed that ba can be among the world’s best airlines.",6th June 2023,United Kingdom,Business Class,yes,7,London to Luanda,Couple Leisure,Yes,Positive
"the flight schedule was delayed for one hour. after boarding the plane we were delayed at least another 30 minutes. when we arrived in london, we were delayed again for at least another 30 minutes to find a gate. we were left with 45 minutes only to catch our connecting flight to barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. when we arrived at barcelona airport, we discovered that our check in luggage was still in london. very painful trip (disrupted our vacation). not flying with ba anymore if i can find alternative airlines.",5th June 2023,Canada,Economy Class,no,3,Denver to Heathrow,Family Leisure,Yes,Negative
"the worst experience in all my years of travel. my first flight with my two kids from boston to london was delayed by 2 hours, resulting in me missing my connecting flight. despite having a layover of approximately 2.5 hours, i ended up waiting until 4.30 pm to board my flight to cairo. unfortunately, even that flight was delayed. i would strongly advise avoiding this particular airline, even if it means paying a bit more for a different option.",3rd June 2023,United States,Economy Class,no,5,BKK to LHR,Business,Yes,Negative
"the worst experience in all my years of travel. bag was destroyed, flight delayed 3 hours and couldn't get water on board. then when attempting to claim on their website the entire site failed on a dropdown menu that wouldn't work. you can't contact them. plane was filthy and someone else's belongings and left over food was still in our seat.",3rd June 2023,Australia,Economy Class,no,3,London to Tampa,Couple Leisure,Yes,Negative
terrible delays. had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. lost all my luggage; received luggage after 4 days. had to purchase new clothes for the family for a wedding. no customer service rep picks up the phone.,2nd June 2023,United States,Economy Class,no,3,London to Sydney,Couple Leisure,Yes,Negative
a serious medical problem appeared while i was onboard. i informed the crew and they helped me out. unfortunately i was in transit but travelling further became too difficult because of how unwell i became. also i could not find my way back home in my condition. thankfully the crew has helped me in every step of the journey until i returned back home. it was a stressful experience but the crew of british airways made it way more tolerable.,1st June 2023,Cyprus,Economy Class,yes,5,LHR to CPT,Couple Leisure,Yes,Negative
"i haven't flown british airways before and will never fly them again! the check-in process was terrible and slow. there were over 30 people in the regular check in line and they had two agents working it. they had one agent working the first class line. it should not take that long to check people in especially when people should have checked in online ahead of time. our group checked in online and almost missed our plane because of the slow counter service. we had to run to the gate and we did make it, but they were terrible!",30th May 2023,United States,Economy Class,no,5,BLR to LHR,Business,Yes,Negative
